content	title	tags	datetime	votes	user	expertise	medal	n_comments	n_appreciation_comments	id	forum	domains
Just completed the  Intro to Machine Learning  course on Kaggle Learn  and I m thrilled to share my journey with you all       URL  Throughout this incredible learning adventure  I delved deep into the foundations of machine learning  mastering essential concepts and techniques. From grasping how models work to the intricacies of model validation  underfitting  and overfitting  every module was a step forward in my understanding. Here s a snapshot of what I ve learned 1. Understanding the fundamentals of how models work. 2. Mastering basic data exploration techniques. 3. Building my first machine learning model from scratch. 4. Validating models effectively to ensure robust performance. 5. Tackling the challenges of underfitting and overfitting. 6. Harnessing the power of Random Forests for predictive modeling. 7. Exploring the thrilling realm of machine learning competitions. This journey wouldn t have been as enriching without the well-crafted articles and engaging exercises provided by Kaggle Learn. A heartfelt thank you to the instructors and the entire Kaggle community for the support and encouragement along the way  Excited to put my newfound knowledge into practice and embark on more machine learning adventures. Let s keep learning  exploring  and growing together    MachineLearning  KaggleLearn  DataScience  NeverStopLearning               Python   discussions?tags 16639-Python  Decision Tree   discussions?tags 13417-Decision Tree  randomForest   discussions?tags 16616-randomFores	ð Just Completed Kaggle Learn's Intro to ML Course! ð	['Python', 'Decision Tree', 'randomForest']	2024-03-26T04:23:00+00:00	11	adham3lam	Expert	bronze	9	0	486704	accomplishments	['Computer Science', 'AI']
Thrilled to hit a 50-day streak on Kaggle       It s been an incredible journey of learning and growth. Grateful for this vibrant community and excited for more adventures ahead        DataScience  Kaggle  Milestone      URL	ð Celebrating 50 Days of Consistency on Kaggle! ð		2024-03-26T08:55:04+00:00	12	shahriarkabir	Expert	bronze	10	0	486773	accomplishments	['General']
Hi dear friends  Today  I am here to share one of my latest achievements - completing the 14th course on Kaggle  focusing on   data cleaning  . This is an essential and critical skill for any data science enthusiast  and I am very excited to take this step in my data science journey.            URL  After completing this course  I have an in-depth understanding and practical experience in data cleaning. I realized that data cleaning was not just a necessity as a pre-processing step  but a cornerstone of ensuring success in data analysis and machine learning projects. Clean  uncluttered data can significantly improve model accuracy and reliability I m ready to apply what I ve learned to more data science projects and continue to explore the other courses and competitions Kaggle has to offer. Data cleansing was just one step in the data science journey  but it opened up endless possibilities for me.	Celebrating the completion of the 14th Kaggle course - Data Cleaning Course ð		2024-03-26T03:05:56+00:00	9	wolfmedal	Expert	bronze	7	0	486690	accomplishments	['General']
THANK YOU       Kaggle COMMUNITY        copyright                Dear Kagglers  I m thrilled to announce that our Boston Housing dataset has been making waves on Kaggle  reaching a remarkable milestone         Dataset Link  -             With 1606 views and 330 downloads  it s evident that our dataset has sparked significant interest among data enthusiasts and professionals alike. This achievement wouldn t have been possible without the invaluable contributions of our dedicated community members.      URL   Beginner   discussions?tags 13102-Beginner  Intermediate   discussions?tags 13103-Intermediate  Advanced   discussions?tags 13104-Advanced  Regression   discussions?tags 14203-Regressio	"ðð  ""Milestone Achieved: My Kaggle Dataset Surpasses 1600+ Views & 300+ Downloads on Kaggle!"" ð ð"	['Beginner', 'Intermediate', 'Advanced', 'Regression']	2024-03-26T08:43:20+00:00	13	sakshisatre	Expert	gold	10	0	486769	accomplishments	['Levels', 'AI']
Hi Kagglers   Though I have joined kaggle 10 months ago  I have been working continuously on kaggle lately and became notebook and discussion expert within short time.  Also  I was able to achieve my longest login streak in kaggle. This wouldn t have happened without your motivation. Thank you everyone    img   URL	Celebrating notebook and discussion expert within 19 days!ð		2024-03-26T02:00:15+00:00	13	saipavankumaryedduri	Expert	bronze	12	0	486683	accomplishments	['Levels']
URL	Reaching a century in total Kaggle medals !! Focusing more on enhancing my skills		2024-03-26T06:11:29+00:00	9	tanishqdublish	Expert	silver	8	0	486726	accomplishments	['General']
Wow  Just hit 1000 views and 150 downloads on my first  Teamfight Tactics dataset   URL  I m really excited to get this silver medal now         TFT dataset banner   URL    TFT dataset stats   URL  Full link .	Just hit 1000 views and 150 downloads on my dataset ð		2024-03-26T03:11:52+00:00	9	riosjoaop	Contributor	silver	9	0	486692	accomplishments	['General']
Hello Kaggle Community  I created my first dataset on Kaggle today  This dataset includes data from all 30 NBA teams over the last 20 seasons  to be used for data analysis. From the several advanced metrics available  I manually sorted them to come up with 5 of the most relevant metrics when it comes to winning NBA championships. These values are reflected in the dataset  which is neatly prepared for analysis. Please check it out  here   URL  Aditya  Follow me on Kaggle   URL   Data Visualization   discussions?tags 13208-Data Visualization  Data Analytics   discussions?tags 13215-Data Analytics  Exploratory Data Analysis   discussions?tags 13201-Exploratory Data Analysis  Data Cleaning   discussions?tags 13202-Data Cleaning  Linear Regression   discussions?tags 13405-Linear Regressio	First dataset!	['Data Visualization', 'Data Analytics', 'Exploratory Data Analysis', 'Data Cleaning', 'Linear Regression']	2024-03-25T22:10:49+00:00	7	adityarao127	Novice	silver	7	0	486657	accomplishments	['AI', 'Data Science']
Hello Kaggle  I would love to take a moment of yors to share one of my recent works with all of you. So i have created a notebook using plotly which has interactive plots and shows how Airbnb has expanded over the time in city of texas. Link of project   Thank you	Interactive plotly plots with Geographical analysis (geospatial analysis).		2024-03-25T18:56:37+00:00	8	deeplearner09	Expert	silver	3	0	486627	accomplishments	['General']
I m very happy to announce that i completed my 1st course on Kaggle   Intro to Machine Learning   After I decided to come back to Data Science and Machine Learning  I was lucky enough to find the courses offered by Kaggle  so I finished my 1st one  and I look forward to finish more courses in the future           URL	Completed my 1st Kaggle Course ð		2024-03-25T23:24:37+00:00	9	youcefbareche	Contributor	silver	9	0	486663	accomplishments	['General']
Hi Dear Kagglers      Finally  I got my second   gold medal        2000 views       33 forks   on my notebook about   Heart Disease Prediction  .  Thank you all        Heart Disease   URL  I worked on   EDA   to visualize the results of my analysis to have a better understanding about what exactily is going on in my project.   I used   box-cox method   to handle   outliers   in some variables and you can see more challenges that I ve faced and how I handled them. Here is my notebook -   Heart Disease Notebook   URL      Best Regards	ð¥ Gold Medal on [Heart Disease Notebook] ð«		2024-03-25T16:25:14+00:00	21	dankok	Expert	gold	15	0	486592	accomplishments	['Data Science']
Hi Dear Fellows       URL     I am thrilled to announce that I have achieved an impressive 280  days login streak on Kaggle  This milestone represents my unwavering dedication to data science and continuous learning. It has been an incredible journey of growth and collaboration within the Kaggle community  and I look forward to many more achievements ahead. Its all because of a wonderful community.  Beginner   discussions?tags 13102-Beginner  Exploratory Data Analysis   discussions?tags 13201-Exploratory Data Analysis  Data Storytelling   discussions?tags 17076-Data Storytelling  Data Visualization   discussions?tags 13208-Data Visualizatio	âï¸âï¸280+ Days of learningâï¸âï¸	['Beginner', 'Exploratory Data Analysis', 'Data Storytelling', 'Data Visualization']	2024-03-25T18:25:08+00:00	16	tariqbashir	Master	silver	13	0	486613	accomplishments	['Levels', 'Data Science']
NEXT GOAL 100DAYS           URL             URL	70 days Long Streak		2024-03-25T18:53:39+00:00	22	muhammadibrahimqasmi	Master	bronze	16	0	486626	accomplishments	['General']
URL  Finally 700 over Bronze Medals in Discussions     Thanks to all of you. I will share the notebook here this time.  You can easily write EDA.  Please try to use it	ðOver 700 Bronze Medals in Discussions ð		2024-03-25T13:56:11+00:00	20	risakashiwabara	Expert	gold	19	0	486556	accomplishments	['General']
Hello everyone  I m glad to share that I ve just reached the Notebooks Expert Tier on Kaggle. I m now eager to further explore discussions and delve into competitions. Huge thanks to Kaggle for offering this invaluable learning platform at no cost.         copyright Happy learning	ðð Leveled Up to Expert Tier!		2024-03-25T14:50:40+00:00	22	alibinkashif	Expert	gold	23	0	486566	accomplishments	['Levels']
URL  Happy to announce my newfound status as a Kaggle expert  Huge gratitude to everyone for the unwavering support and encouragement   your comments and upvotes have been my fuel. I m dedicated to perpetual growth and eagerly await your insights to elevate even more. Here s to pushing the limits collectively	I Became Notebooks Expert		2024-03-26T02:52:42+00:00	15	harshshinde8	Expert	gold	15	0	486687	accomplishments	['Levels']
I m excited to share that I ll be attending the upcoming Google Cloud Next conference April 9-11 in Las Vegas  It looks like there will be Kaggle specific events at this conference so I m excited to meet some fellow Kagglers and learn more about Google s platform in general.      URL    Are you going? Are there any sessions you think sound interesting? I hope to see you there    For more information on the conference  go to  Google Cloud Next  24 Home Page   URL	â¡ Attending Google Cloud Next `24 âï¸		2024-03-25T12:55:53+00:00	15	jonbown	Grandmaster	gold	8	1	486541	accomplishments	['Cloud Computing']
Hello kagglers  I have recently uploaded a dataset Baseball Player Metrics which consist of detail about Years of Play  Games  At-Bats  Runs  Hits  and following columns  1. Player The name of the baseball player. 2. YRS The number of years the player has been active in professional baseball. 3. G The total number of games played by the player. 4. AB The total number of at-bats  plate appearances  by the player. 5. R The total number of runs scored by the player. 6. H The total number of hits recorded by the player. 7. 2B The total number of doubles hit by the player. 8. 3B The total number of triples hit by the player. 9. HR The total number of home runs hit by the player. 10. RBI The total number of runs batted in  RBIs  by the player. Dataset Link - Thankyou	Baseball Player Metrics Dataset (Usability score : 10)		2024-03-25T11:18:42+00:00	6	krupadharamshi	Contributor	silver	6	0	486527	accomplishments	['Computer Science']
Hey Kagglers  I m thrilled to share some exciting news with you all       Today I ve clinched my very first Gold Medal in Datasets                URL	ð¥ð First Gold in Kaggle Datasets! ðð¥		2024-03-25T15:46:32+00:00	18	ghaithmechi	Master	gold	18	0	486588	accomplishments	['General']
Building upon my previous achievement as a Notebook Expert  this achievement is a pivotal moment in my ongoing quest for data science mastery.  This journey has been nothing short of transformative. Every dataset analyzed  every kernel crafted  and every discussion participated in has been a stepping stone toward this achievement. It s not just about the rank  it s about the countless hours of learning  experimenting  and collaborating with fellow Kagglers that have shaped me into the data enthusiast I am today.  I m immensely grateful to the Kaggle community for their unwavering support  guidance  and camaraderie throughout this journey. Whether through sharing insights  providing constructive feedback  or simply cheering each other on  the collective spirit of collaboration has been the driving force behind my progress.  Thank You	I Am A Dataset Expert Now! Thank You		2024-03-25T12:16:23+00:00	18	forgetabhi	Expert	gold	16	0	486535	accomplishments	['Levels']
Hello Kagglers    Are you new to Convolutional Neural Networks  CNNs  and looking for a beginner-friendly guide to get started? Look no further  In this notebook  I ve put together a comprehensive introduction to CNNs  explaining the key concepts and providing hands-on examples using popular frameworks like TensorFlow and Sk Learn. Whether you re a student  an enthusiast  or a professional looking to expand your skillset  this notebook is designed to help you grasp the fundamentals of CNNs and kickstart your journey into the exciting world of deep learning.   Topics Covered   1. Introduction to CNNs 2. Convolutional Layers 3. Pooling Layers 4. Fully Connected Layers 5. Building a Simple CNN Model 6. Fine-Tuning Pretrained Models 7. Common Challenges and Best Practices   Notebook Link     Feedback   I welcome any feedback  questions  or suggestions you may have  Feel free to leave comments directly on the notebook  and I ll do my best to address them promptly.   Next Steps   If the response to this CNN notebook is positive  I m excited to continue covering other topics in deep learning and machine learning. Let me know what you d like to learn next  Happy Learning	Beginner-Friendly Notebook: Introduction to Convolutional Neural Networks (CNNs)		2024-03-25T09:35:01+00:00	12	jaidalmotra	Master	silver	10	2	486508	accomplishments	['General']
Exciting news  everyone  I am thrilled to announce that I ve officially leveled up to become a 3-time Expert on Kaggle       That s right  now I m recognized as an Expert in Datasets  Discussions  and Notebooks     what a journey       URL    3x Kaggle Expert   URL  Going from a total newbie to reaching this milestone has been nothing short of amazing. I m bursting with enthusiasm and gratitude towards the incredible Kaggle community. Your upvotes on my notebooks  along with your constant support and guidance  have been instrumental in helping me grow and evolve into a better data science enthusiast. I couldn t have done it without you all  Here s to many more exciting challenges and victories ahead. Let s keep pushing the boundaries and learning together   KaggleExpert  GratefulCommunity  Beginner   discussions?tags 13102-Beginner  Intermediate   discussions?tags 13103-Intermediate  Data Analytics   discussions?tags 13215-Data Analytic	Finally Became 3x Expert on Kaggle! â¨	['Beginner', 'Intermediate', 'Data Analytics']	2024-03-25T10:16:56+00:00	16	sazidthe1	Expert	silver	16	0	486518	accomplishments	['Levels', 'Data Science']
URL   XGBoost   discussions?tags 13403-XGBoost  Data Visualization   discussions?tags 13208-Data Visualization  Data Analytics   discussions?tags 13215-Data Analytics  Data Cleaning   discussions?tags 13202-Data Cleaning  Exploratory Data Analysis   discussions?tags 13201-Exploratory Data Analysi	Notebook is in trending â¨ð¥ð	['XGBoost', 'Data Visualization', 'Data Analytics', 'Data Cleaning', 'Exploratory Data Analysis']	2024-03-25T06:15:55+00:00	7	endofnight17j03	Expert	silver	7	0	486477	accomplishments	['Data Science', 'AI']
Hello Kaggle community   This topic is my 500th discusion  I would like to thank all of Kaggle for your support that helped me reach this number. Thank you all. God bless you.	500th Discussion Posted		2024-03-25T19:01:06+00:00	19	middlehigh	Expert	gold	17	0	486630	accomplishments	['General']
Hello everyone       Today  I want to share with you my journey on Kaggle    . It is a journey that is both challenging and growing. In the past 83 days  I insisted on logging in to Kaggle every day. Not only did I participate in 11 competitions     and won two competition bronze medals  but I also won three silver medals in data sets      and one silver medal in notebooks    . The number of medals in the discussion area exceeded 400       . Along the way  I gained a lot and learned a lot.       URL       URL  This 83-day journey is just the beginning  and I look forward to participating in more competitions  exploring more data sets  and in-depth communication with community friends    .  I hope my experience can inspire everyone to create more possibilities on Kaggle	Celebrating 83 days of continuous loginâtwo competition medals, three silver medals for data sets, one silver medal for notebook code, and 400 medals for discussion forums		2024-03-25T02:14:30+00:00	10	wolfmedal	Expert		11	0	486453	accomplishments	['General']
Iam Happy to share TFIDF From Scratch  Notebook   URL	TFIDF-LLM From-Scratch		2024-03-24T22:34:36+00:00	6	abdelrahmanm2003	Contributor	silver	4	0	486428	accomplishments	['General']
Hi all  I had a thought. Most of us are here on Kaggle to try to improve our skill sets and become better Data Scientists. I personally have held mostly the same strategy since I started on Kaggle. I compete in competitions and then I look at the gold medal finishers  solutions with a fine tooth comb. My goal is to understand what led them to make the decisions nobody else saw. What did they do that I didn t think to try. For example  in this notebook  I get my first competition Gold medal. The core trick in this competition was refitting the model after some time had passed rather than only fitting the model at the time of submission. Check this notebook out and let me know what you think? What do you believe is the key to growth on Kaggle? I will also note  I put this post in the accomplishments category because I have heard that is where notebooks go now? If I am wrong about this let me know  Happy Kaggling	Best way to grow on Kaggle?		2024-03-24T21:37:16+00:00	14	cody11null	Grandmaster	gold	7	0	486421	accomplishments	['General']
Always thank you for all of you     I m really grad that I ve arrived at just 200 days login streak   My method to continue   Make a goal every morning   Lock back the result every night This method indirectly helps me remember to be active on kaggle          URL	ððCelebrating 200 Days Login Streak		2024-03-25T13:39:04+00:00	32	yutodennou	Master	gold	25	0	486553	accomplishments	['General']
What a week it has been  I have been very lucky to get competitions master this week with the help of my teammates  and now this week I also hit Notebooks Master status to go along with my Discussions GM status. Thank you all so much for supporting me and my work and for teaching me so much  I certainly don t think of myself as particularly gifted. I have only been studying data science at a deeper level for about 4 years now. I have only been on kaggle for about 13 months. I fully believe that anyone can do it if they put their mind to it. Don t be afraid to start because you are probably better equipped than me  Thank you all for making Kaggle such an interesting platform       URL	3X Kaggle Master! Thank you!		2024-03-25T18:20:27+00:00	26	cody11null	Grandmaster	gold	20	0	486611	accomplishments	['General']
URL  Retrieval-Augmented Generation  RAG  is the concept of providing large language models  LLMs  with additional information from an external knowledge source. This allows them to generate more accurate and contextual answers while reducing hallucinations. In this kaggle notebook  I provided a step-by-step guide to building a complete RAG application using the latest open-source LLM by Google Gemma 7B and open-source vector database by Faiss.     You can try it from  here   URL	New Kaggle Notebook: Building RAG Application using Gemma 7B LLM & Faiss Vector Database		2024-03-24T15:06:12+00:00	6	youssef19	Expert	bronze	5	0	486360	accomplishments	['Data Science', 'AI']
Thanks Kaggle Community    Current view 1792       URL       URL	Triumphant Achievement: ðð My Kaggle Notebook Surpasses 1500+ Views, Emerging as a Top Performer!		2024-03-24T17:58:39+00:00	19	muhammadibrahimqasmi	Master	bronze	13	0	486387	accomplishments	['General']
Hello kagglers  I am delighted and way too excited to share my latest work or my latest dataset on Amazon stocks between 1997-2011. I also made a LSTM model on the same. It contains of the following Date The date of the trading session. Open The opening price of the asset at the beginning of the trading session. High The highest price reached by the asset during the trading session. Low The lowest price reached by the asset during the trading session. Close The closing price of the asset at the end of the trading session. Adj Close The adjusted closing price  possibly accounting for factors such as dividends and stock splits. Volume The trading volume  indicating the total number of shares or contracts traded during the session. Dataset Link Thank you and Have a great day	Amazon stocks dataset between 1997-2011. (Usability score : 10).		2024-03-25T11:29:24+00:00	5	deeplearner09	Expert	silver	4	0	486528	accomplishments	['Finance']
Exciting news    I ve reached a milestone of 100 bronze medals in Kaggle discussions                URL  I m thrilled to have achieved this feat and grateful for the opportunity to contribute to the Kaggle community. Your feedback  comments  and discussions have been invaluable in helping me grow and learn along the way. Thank you all for your continuous support and engagement	ð¥ 100 Bronze Medals in Discussions ð¥		2024-03-25T14:18:47+00:00	9	adelanseur	Expert	silver	12	0	486559	accomplishments	['General']
URL  Hello  dear friends. Despite the fact that it was added a little earlier  it doesn t negate the benefits and interest that you can get. Perhaps someone hasn t seen this notebook.     I want to share with you a full tutorial about    Stacking   Blending in ML     URL     If you find this tutorials format useful  don t miss the release of new algorithms that you can find in my profile. Next  a lot of interesting things will be added     I hope you enjoy it and have fun reading             Also tomorrow is gonna be published the tutorial about    Logistic   Softmax regression           Ensembling   discussions?tags 13305-Ensembling  Python   discussions?tags 16639-Python  Data Analytics   discussions?tags 13215-Data Analytic	Stacking & Blending from scratch in Python. Full tutorialð	['Ensembling', 'Python', 'Data Analytics']	2024-03-25T10:00:51+00:00	8	egazakharenko	Expert	bronze	6	0	486514	accomplishments	['Data Science', 'Computer Science', 'AI']
URL       URL  Thrilled to share that our project  Comparative Analysis of Two Solar Power Plants in Energy Production  has earned a gold medal on Kaggle  Key insights      Sustainable energy is our future.       Data drives smarter investments.       Every condition counts in energy production.  We explored how factors like location and weather impact solar efficiency. Our findings pave the way for smarter  greener energy strategies. Big thanks to the Kaggle community for this honor       Hashtags to spread the word   KaggleGold  SolarEnergy  DataScience  Sustainability  RenewableEnergy  EnergyAnalysis  MachineLearning  AI  GreenTech  Innovation	ð Gold Medal Achievement in Solar Energy Analysis ð		2024-03-25T06:07:48+00:00	16	mehmetisik	Expert	bronze	6	0	486474	accomplishments	['Electricity', 'AI']
URL  Without the invaluable support and resources provided by the Kaggle community  I wouldn t have been able to achieve this milestone. A heartfelt thanks to Kaggle            Artificial Intelligence   discussions?tags 12101-Artificial Intelligence  Computer Science   discussions?tags 12107-Computer Science  Beginner   discussions?tags 13102-Beginner  Intermediate   discussions?tags 13103-Intermediate  Computer Vision   discussions?tags 13207-Computer Visio	ðð¥³Finally! I'm a Notebook Expertðð¥³	['Artificial Intelligence', 'Computer Science', 'Beginner', 'Intermediate', 'Computer Vision']	2024-03-25T12:52:32+00:00	17	aarishasifkhan	Expert	gold	15	0	486540	accomplishments	['Levels', 'Computer Science', 'AI']
Iam happy to share Image enhancement using Contrast-stretching and image Equalization.  Notebook   URL	Image enhancement		2024-03-24T22:21:20+00:00	5	abdelrahmanm2003	Contributor	silver	3	0	486425	accomplishments	['General']
